ID,site,sex,carapace_length,carapace_width,height,plastron,claw,mass,annuli
BLMX,SM,M,10.07,7.8,4.13,9.24,14.4,110,NA
BLN,SM,M,8.63,6.95,3.62,7.86,7.2,75,5
BLNO,SM,M,9.13,6.81,3.59,8.35,10.4,75,4
BLNP,DL,F,12.88,9.59,4.71,11.81,7.6,265,NA
BLNQ,DL,F,13.24,9.81,4.68,12.18,7.5,270,NA
BLNV,TM,M,11.81,8.98,4.13,10.75,12.8,170,NA
BLNVW,SM,M,9.01,7.23,3.48,8.23,10.4,75,4
BLNW,DL,M,11.99,8.97,3.92,10.79,13,175,NA
BLNX,DL,F,12.64,9.68,4.97,12.06,7.6,250,NA
BLO,SM,F,7.78,6.62,3.18,7.23,5.4,60,3
BLOV,DL,M,11.01,8.63,3.92,9.68,14,135,NA
BLOW,BS,F,14.52,10.48,5.7,13.3,9.9,270,NA
BLOX,TM,M,11.63,9.02,4.05,10.85,12.8,170,NA
BLP,SM,F,7.46,6.47,3.22,6.73,5.2,30,5
BLV,SM,F,7.01,6.26,2.78,6.35,5.1,40,2
BLVW,TM,M,12.39,8.65,4.3,11.4,13,245,NA
BLVX,DL,M,12.21,9.05,4.19,10.95,11.6,215,NA
BLW,SM,F,7.74,6.75,3.4,7.09,5.4,60,2
BLWX,DL,M,12.8,8.7,3.9,10.6,12,155,NA
BM,LUX,M,10.31,7.79,3.38,9.46,13.1,105,NA
BMNO,BS,M,13.57,10.37,4.61,12.48,13.2,265,NA
BMNV,BS,M,12.44,9.31,4.06,11.21,15.3,175,NA
BMNW,BS,M,11.91,9.03,3.81,10.92,12.9,175,NA
BMNX,BS,F,13.68,10.19,5.47,12.79,8.3,345,5
BMOV,SM,F,11.91,9,4.42,11.29,7.8,195,NA
BMOW,SM,F,10.32,7.97,3.93,9.71,7.3,125,7
BMOX,SM,M,9.5,7.5,3.34,8.57,11.3,75,6
BMV,DL,M,10.89,8.36,3.75,9.91,13.2,NA,NA
BMVW,SM,F,8,6.56,3.03,7.18,6.3,35,3
BMVX,SM,F,8.48,7.11,3.32,7.53,5.1,55,4
BMW,TM,M,12.18,9.1,4.06,10.96,11.9,180,NA
BMWX,SM,F,7.06,6.25,2.94,6.35,4.3,15,2
BMX,TM,F,13.92,10.56,5.12,12.73,9,325,NA
BN,LUX,M,10.76,8.11,3.77,9.86,12.8,110,NA
BNO,SM,F,12.57,9.55,4.8,11.49,6.8,235,NA
BNOV,SM,F,8,6.9,3.1,7.3,6,55,4
BNOW,TM,M,12.71,9.46,4.1,11.59,13.2,230,NA
BNOX,TM,M,11.27,8.38,3.86,10.24,12,145,NA
BNV,SM,M,9.09,7.22,3.3,8.4,13,75,NA
BNVW,TM,M,11.12,8.35,3.75,9.92,14.6,140,NA
BNVX,TM,M,9.06,7.57,3.22,8.14,10.5,70,3
BNW,SM,F,8.6,7.3,3.4,7.9,6,70,4
BNWX,TM,M,12.37,9.06,4.24,11.34,13,210,NA
BNX,SM,F,8.1,7,3.4,7.4,7,60,3
BO,LUX,M,10.89,8.45,3.6,9.94,12.5,125,NA
BOV,TM,M,12.93,9.45,4.27,11.68,12.4,265,NA
BOVW,TM,F,11.97,9.12,4.61,10.89,7.3,185,4
BOVX,BS,M,13.61,10.48,4.79,12.22,14,310,NA
BOW,TM,M,14.51,10.41,4.38,12.75,12.7,285,NA
BOWX,BS,M,11.84,9.13,4.03,10.98,13.9,185,NA
BOX,TM,F,8.64,7.36,3.12,7.88,5.7,55,3
BP,LUX,M,8.42,7.11,2.85,7.77,10.1,45,3
BQ,LUX,M,9.48,7.51,3.23,8.38,12.4,85,NA
BV,LUX,M,11.55,8.78,3.73,10.54,13.8,155,NA
BVX,BS,M,13.03,9.93,4.45,12.12,15.3,260,NA
BW,LUX,M,11.89,9.03,3.83,10.9,13.7,155,NA
BX,LUX,M,11.73,8.8,4.12,10.83,13.1,170,NA
C,BS,M,11.32,8.62,3.89,10.11,14.3,140,NA
CH,LUX,M,9.5,7.31,3.51,8.8,13.6,85,NA
CI,LUX,F,12.63,9.82,4.78,11.89,7.1,220,NA
CJ,LUX,F,14.51,11.16,5.31,13.37,8,350,NA
CJKL,SM,F,9.07,7.65,3.36,6.63,5.4,70,6
CJKM,SM,F,7.24,5.88,2.38,6.14,3.9,20,3
CJKN,SM,F,8.82,6.62,2.79,7.92,7,100,NA
CJKO,SM,F,12.18,8.77,4.56,11.33,7.8,215,NA
CJKV,SM,M,9.04,6.76,3.57,8.63,8.7,75,6?
CJKW,SM,F,8.11,6.87,3.34,7.7,5,55,3
CJKX,SM,F,8.65,6.63,3.2,8.09,4,80,5
CJL,SM,M,9.47,7.13,3.08,8.71,10.6,120,NA
CJLM,SM,M,8.55,7.1,3.4,7.8,7,60,5
CJLN,SM,F,8,6.95,3.3,7.4,5,45,4
CJLO,SM,M,12.76,8.81,4.55,11.45,11.5,235,NA
CJLV,SM,M,10.03,8.01,3.65,9.25,10,110,7
CJLW,SM,M,8.95,7.15,3.3,8.36,9.5,75,7
CJLX,SM,M,13.02,9.55,4.42,12.2,14.2,245,NA
CJM,SM,M,8.14,6.83,3.25,7.37,7.3,50,3
CJMN,SM,M,9.8,7.69,3.64,8.9,10.6,105,NA
CJMV,SM,F,12.56,9.26,5.03,11.75,5.9,235,NA
CJMW,SM,F,12.15,9.66,4.46,11.39,8,210,NA
CJMX,SM,F,11.57,9.1,4.41,10.48,7.2,,NA
CJN,SM,F,7.5,6.5,3.2,6.4,5.2,45,4
CJNO,BS,F,14.39,10.84,5.11,12.99,8.1,335,NA
CJNV,BS,M,11.72,8.68,4.07,10.67,12.3,160,NA
CJNW,BS,M,11.14,8.89,3.87,10.47,12.5,150,NA
CJNX,BS,M,13.42,9.86,4.26,11.86,11.2,225,NA
CJOV,BS,F,12.87,10.12,5.25,11.89,7.4,295,NA
CJOW,BS,F,14.7,11.5,6.1,14.03,7.9,445,NA
CJOX,BS,M,10.19,7.83,3.83,9.42,9.9,100,NA
CJVW,BS,M,14.03,10.06,4.81,12.19,12.9,315,NA
CJVX,BS,F,14.3,10.93,5.42,13.57,9.3,365,NA
CJWX,BS,M,12.36,9.35,4.11,11.4,13.8,190,NA
CK,LUX,M,11.77,8.9,4.04,10.91,14.2,165,NA
CL,LUX,M,9.17,7.22,3.29,8.29,9.2,65,3
CM,LUX,F,9.64,8.27,3.81,9.01,6.5,100,3
CN,LUX,M,11.94,8.96,4.11,11.11,14.8,165,NA
CO,LUX,M,12.09,9.37,4.08,11.3,12.8,205,NA
CP,LUX,F,13.09,9.8,4.85,12.31,7.6,295,8
CQ,LUX,M,9.39,7.88,3.49,8.73,11.2,90,4
CV,LUX,M,12.41,9.03,4.28,11.16,13.8,215,NA
CW,LUX,F,10.07,8.36,3.73,9.32,6.4,110,4
CX,LUX,M,12.21,9.01,3.98,11.07,14.3,190,NA
GHI,LUX,F,12.45,9.52,4.45,11.63,7.7,230,NA
HI,LUX,F,8.13,7.27,3.21,7.49,5.4,55,2
HJ,LUX,M,13.94,10.15,4.44,12.36,13.4,265,NA
HK,LUX,M,12.3,8.85,4.51,11.09,15.1,220,NA
I1,SM,M,10.37,8.01,3.97,9.47,12.7,130,NA
I2,SM,F,13.4,9.72,4.8,12.21,5.6,245,NA
JN,SM,M,11.26,8.74,4.15,10.23,13.1,170,NA
N,BS,F,17.55,11.99,6.13,16.05,8.9,500,NA
O,SM,M,11.1,8.4,4.2,10,14,150,NA
P,SM,F,8.65,7.56,3.42,7.84,5.6,60,4
PM1,LUX,M,10.6,8.46,3.57,9.72,15.1,140,NA
PM2,LUX,M,10.91,8.49,3.83,10.12,13.5,145,NA
U4,SM,F,6.03,5.8,2.62,5.66,5,25,2
