Capture Date,ID,d15N,d13C,Morph,Species,Zone,Sex,Carapace length (mm),Carapace width (mm),Height (mm),Plastron (mm),3rd foreclaw length (mm),Mass (g),Annuli,Notes,Carapace length (cm),Carapace width (cm),Height (cm),Plastron length (cm)
7/17/2018,BKNQ,,,x,C. picta,8,F,116.6,94.0,47.6,110.0,7.1,245,Non-observable,,11.66,9.4,4.76,11
5/31/2019,BKNQ,,,x,C. picta,11,F,116.7,93.7,48.4,110.3,5.6,255,Non-observable,"Recapture, neck wound",11.67,9.37,4.84,11.03
6/2/2019,BKNQ,,,-,C. picta,11,F,-,-,-,-,-,-,Non-observable,Recap from last year - caught 2 days ago.,,,,
5/31/2018,BKNV,,,x,C. picta,6,F,78.0,66.0,31.0,72.0,6.0,55,3,Trapped,7.8,6.6,3.1,7.2
6/6/2019,BKNV,,,x,C. picta,11,F,81.4,64.0,29.9,74.0,5.1,56,Non-observable,Fecal sample (and blood) used for isotope analysis,,,,
5/30/2018,BKO,,,x,C. picta,3,M,124.6,91.3,41.1,109.7,11.4,240,Non-observable,Trapped,12.46,9.13,4.11,10.97
7/17/2018,BKOP,,,x,C. picta,11,M,96.6,76.6,37.2,89.5,11.4,115,Non-observable,,9.66,7.66,3.72,8.95
7/17/2018,BKOQ,,,x,C. picta,11,F,105.0,79.3,43.8,96.1,6.3,175,7,,10.5,7.93,4.38,9.61
6/7/2019,BKOQ,,,x,C. picta,11,F,108.9,80.4,44.1,99.1,5.6,182,6,,,,,
5/29/2018,BKOV,,,x,C. picta,11,M,84.6,72.5,31.6,81.2,10.9,85,5,,8.46,7.25,3.16,8.12
5/29/2018,BKOW,,,x,C. picta,11,F,70.5,60.3,26.1,63.0,4.7,45,2,,7.05,6.03,2.61,6.3
5/29/2018,BKOX,,,x,C. picta,10,F,64.7,58.8,25.4,59.7,4.9,35,3,,6.47,5.88,2.54,5.97
7/6/2018,BKP,,,x,C. picta,8,I,73.5,66.5,28.7,68.8,5.3,35,6,Basking,7.35,6.65,2.87,6.88
6/5/2019,BKP,,,x,C. picta,8,I,76.3,67.7,30.2,72.1,4.9,45,Non-observable,,,,,
6/7/2019,BKP,,,x,C. picta,11,I,76.2,67.2,30.5,71.7,5.4,80,4,,,,,
7/17/2018,BKPQ,,,x,C. picta,11,M,106.6,78.2,38.7,97.3,12.2,145,8,,10.66,7.82,3.87,9.73
7/17/2018,BKPV,,,x,C. picta,11,M,110.5,81.7,42.3,99.7,11.6,185,Non-observable,,11.05,8.17,4.23,9.97
7/17/2018,BKPW,,,x,C. picta,11,M,117.4,87.7,41.6,107.0,13.2,185,Non-observable,,11.74,8.77,4.16,10.7
7/6/2018,BKQ,,,x,C. picta,2,M,108.2,85.0,39.5,100.8,12.9,140,Non-observable,,10.82,8.5,3.95,10.08
6/7/2019,BKQ,,,x,C. picta,1,M,109.1,85.5,39.2,101.6,12.3,157,,,,,,
5/30/2018,BKV,,,x,C. picta,6,M,111.1,88.8,35.7,103.8,14.6,150,Non-observable,Trapped,11.11,8.88,3.57,10.38
5/29/2018,BKVW,,,x,C. picta,8,F,122.4,96.1,49.1,114.0,7.0,275,Non-observable,,12.24,9.61,4.91,11.4
5/31/2018,BKVW,,,-,C. picta,10,F,-,-,-,-,n/a,n/a,n/a,Recap,n/a,n/a,n/a,n/a
5/29/2018,BKVX,,,x,C. picta,8,F,94.5,78.5,33.0,86.2,7.0,120,4,,9.45,7.85,3.3,8.62
5/30/2018,BKW,,,x,C. picta,6,F,133.0,98.6,51.3,128.7,7.4,295,Non-observable,Trapped,13.3,9.86,5.13,12.87
5/29/2018,BKWX,,,x,C. picta,8,F,99.5,76.5,37.1,92.5,6.7,140,Non-observable,Pooped on me...,9.95,7.65,3.71,9.25
5/30/2018,BKX,,,x,C. picta,8,F,135.8,101.6,50.7,127.0,7.9,335,Non-observable,Trapped. Missing left eye,13.58,10.16,5.07,12.7
5/31/2018,BLM,,,x,C. picta,11,M,88.8,73.4,33.8,81.4,9.9,95,Non-observable,,8.88,7.34,3.38,8.14
6/1/2018,BLMN,,,x,C. picta,11,F,92.6,76.0,38.0,85.4,5.5,115,5,Extra scutes around nuchal,9.26,7.6,3.8,8.54
6/1/2018,BLMO,,,x,C. picta,3,F,78.5,66.2,31.2,70.7,6.3,55,3,,7.85,6.62,3.12,7.07
6/7/2018,BLMX,,,x,C. picta,8,M,100.7,78.0,41.3,92.4,14.4,110,Non-observable,,10.07,7.8,4.13,9.24
6/7/2019,BLMX,,,x,C. picta,11,M,102.4,78.3,36.5,93.2,12.2,124,,,,,,
7/3/2019,BLMX,,,-,C. picta,11,F,103.3,79.1,39.1,94.3,13.0,136,,Recap from last year,,,,
5/31/2018,BLN,,,x,C. picta,11,M,86.3,69.5,36.2,78.6,7.2,75,5,,8.63,6.95,3.62,7.86
6/7/2018,BLNO,,,x,C. picta,8,M,91.3,68.1,35.9,83.5,10.4,75,4,,9.13,6.81,3.59,8.35
6/7/2018,BLNVW,,,x,C. picta,8,M,90.1,72.3,34.8,82.3,10.4,75,4,,9.01,7.23,3.48,8.23
6/18/2018,BLNVW,,,-,C. picta,8,M,90.7,69.2,36.2,84.0,10.4,70,4,Recap: we made 2 BLNV's so we added a W to this one,9.07,6.92,3.62,8.4
5/31/2018,BLO,,,x,C. picta,11,F,77.8,66.2,31.8,72.3,5.4,60,3,,7.78,6.62,3.18,7.23
